SPECIES_NAME,HUC8,NAME,ORIGIN,POINTDATA
Cottus aleuticus,19010303,Chilkat-Skagway Rivers,Native,FALSE
Cottus aleuticus,19020602,Tuxedni-Kamishak Bays,Native,TRUE
Cottus aleuticus,19020104,Lower Copper River,Native,TRUE
Cottus aleuticus,19010104,Bradfield Canal,Native,FALSE
Cottus aleuticus,19010105,Burroughs Bay,Native,TRUE
Cottus aleuticus,19010207,Stikine River,Native,TRUE
Cottus aleuticus,19030202,Ugashik Bay,Native,FALSE
Cottus aleuticus,19030306,Nushagak Bay,Native,FALSE
Cottus aleuticus,19010404,Alsek River,Native,FALSE
Cottus aleuticus,19020103,Chitina River,Native,FALSE
Cottus aleuticus,19010106,Headwaters Portland Canal,Native,FALSE
Cottus aleuticus,19010212,Baranof Island,Native,TRUE
Cottus aleuticus,19010206,Holkham Bay,Native,FALSE
Cottus aleuticus,19020702,Shelikof Strait,Native,TRUE
Cottus aleuticus,19010301,Lynn Canal,Native,TRUE
Cottus aleuticus,19030303,Lower Nushagak River,Native,FALSE
Cottus aleuticus,19030305,Togiak,Native,FALSE
Cottus aleuticus,19020503,Talkeetna River,Native,TRUE
Cottus aleuticus,19050104,Nome,Native,TRUE
Cottus aleuticus,19010210,Kuiu-Kupreanof-Mitkof Islands,Native,FALSE
Cottus aleuticus,19030204,Naknek,Native,TRUE
Cottus aleuticus,19010402,Bering Glacier,Native,FALSE
Cottus aleuticus,19010405,Yakutat Bay-Gulf of Alaska,Native,TRUE
Cottus aleuticus,19020302,Upper Kenai Peninsula,Native,TRUE
Cottus aleuticus,19020402,Matanuska,Native,FALSE
Cottus aleuticus,19050301,Selawik Lake,Native,TRUE
Cottus aleuticus,19050403,Lower Noatak River,Native,FALSE
